--- Sheet: OUTPUT ---
,,,ESTIMATING DATA,,,,,
,,,GROUND WORKS,,,,,
A. SITE CLEARANCE,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,
B. EXCAVATIONS,,,,,,,,
"1, Normal pickable ground",,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,
"2, Hard pickable ground",,,,,,,,
"    As above, but +250%",,,,,1 Lab,, 0.40 ,
"3, Rock excavation",,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,
C. DISPOSALS,,,,,,,,
    ,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,
d) Compacting,,,,,1 Lab,,35m2/day,
e) Load for disposal,,,,,1 Lab,,1.5m3/day,
,,,BRICKWORK AND BLOCKWORK,,,,,
 NB,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,
,Concrete,,,,,,,,,,
,Grade 10-20,m3,6.2,x,,,,,,,
7;;],,,sand,4.88,,,,,,,
,,,cement,27.67,,,,,,,
,,,stone,5.27,,,,,,,
,Grade 20-20,m3,6.2,,,,,,,,
,,,sand,4.43,,,,,,,
,,,cement,33.85,,,,,,,
,,,stone,5.47,,,,,,,
,Grade 25-20,m3,1,,,,,,,,
,,,sand,0.71,,,,,,,
,,,cement,5.99,,,,,,,
,,,stone,0.88,,,,,,,
,Grade 30-20,m3,1,,,,,,,,
,,,sand,0.70,,,,,,,
,,,cement,8.87,,,,,,,
,,,stone,0.90,,,,,,,
,Grade 30-40,m3,0,,,,,,,,
,,,sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,,,stone,0.00,,,,,,,
,Grade 40-20,m3,0,,,,,,,,
,,,sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,,,stone,0.00,,,,,,,
,Polythene sheeting,,,,,,,,,,
,,m2,75,,,,,,,,
,,,m,50.00,,,,,,,
,Mesh fabric reinforcement Ref S193,,,,,,,,,,
,,m2,0,,,,,,,,
,,,sheets,0.00,,,,,,,
,Hardcore,,,,,,,,,,
,,m3,130,19.50,,,,,,,
,Sand blinding,,,,,,,,,,
,,m3,0,0.00,,,,,,,
,Termite treatment,,,,,,,,,,
,,m2,60,,,,,,,,
,,,litres,6.52,,,,,,,
,Half brick wall,,,,,,,,,,
,,m2,0,,,,,,,,
,,,commons,0.00,,,,,,,
,,,pit sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,One brick wall,,,,,,,,,,
,,m2,0,,,,,,,,
,,,commons,0.00,,,,,,,
,,,pit sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,Piers,,,,,,,,,,
,,m3,0,,,,,,,,
,,,commons,0.00,,,,,,,
,,,pit sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,Face Brick Wall,,,,,,,,,,
,,m2,0,,,,,,,,
,,,facings,0.00,,,,,,,
,,,pit sand,0.00,,,,,,,
,,,cement,0.00,,,,,,,
,Brick-on-edge,,,,,,,,,,
,,m2,0,,,,,,,,
,,,bricks,0.00,,,,,,,
,,,pit sand,0.00,,,,,,,
